id,Type,Title,URL,Domain
1,Career Videos,Composition Fundamentals for Visual Arts and Design,https://www.udemy.com/course/composition-fundamentals-for-visual-arts-and-design/,arts&design
2,Career Videos,Printing on Fabric: 5 Techniques to Get You Started,https://www.udemy.com/course/printing-on-fabric-5-techniques-to-get-you-started/,arts&design
3,Career Videos,The Language of Design: Form and Meaning,https://www.coursera.org/learn/design-language,arts&design
4,Career Videos,Modern and Contemporary Art and Design Specialization,https://www.coursera.org/specializations/modern-contemporary-art-design,arts&design
5,Career Videos,Google Analytics Certification - Become Certified in 1 Day!,https://www.udemy.com/course/google-analytics-certification/,analytics
6,Career Videos,Google Analytics for Beginners | Hands-On Training Course,https://www.udemy.com/course/google-analytics-insights/,analytics
7,Career Videos,IBM Data Science Professional Certificate,https://www.coursera.org/professional-certificates/ibm-data-science,analytics
8,Career Videos,Advanced Business Analytics Specialization,https://www.coursera.org/specializations/data-analytics-business,analytics
9,Career Videos,"HR,HR Analytics,HR Courses, Human Resource Management,",https://www.udemy.com/course/people-management101/,human resources
10,Career Videos,Introduction to Human Resource Management,https://www.udemy.com/course/introduction-to-human-resource-management/,human resources
11,Career Videos,Human Resource Management: HR for People Managers Specialization,https://www.coursera.org/specializations/human-resource-management,human resources
12,Career Videos,Preparing to Manage Human Resources,https://www.coursera.org/learn/managing-human-resources,human resources
13,Career Videos,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,finance
14,Career Videos,The Complete Finance Manager Course 2020,https://www.udemy.com/course/the-complete-finance-manager-course/,finance
15,Career Videos,Introduction to Finance and Accounting Specialization,https://www.coursera.org/specializations/finance-accounting,finance
16,Career Videos,Finance for Non-Finance Professionals,https://www.coursera.org/learn/finance-for-non-finance,finance
17,Career Videos,Medical Terminology,https://www.udemy.com/course/medical-terminology/,medical
18,Career Videos,Medical Terminology 101,https://www.udemy.com/course/medical-terminology-101/,medical
19,Career Videos,Vital Signs: Understanding What the Body Is Telling Us,https://www.coursera.org/learn/vital-signs,medical
20,Career Videos,Anatomy Specialization,https://www.coursera.org/specializations/anatomy,medical
21,Career Articles,"This short introductory project is designed to enable you to explore the visual elements in art and design. You will be outside drawing and taking photographs of people and architecture in the historic city of Cambridge. Then during the second week you will develop these drawings through 3D, Fine Art, Textiles, Graphics, Photography and Moving Image. Alongside this you will learn about Medieval Art and Architecture and the Renaissance period in art and design. Further drawing tasks will enable you to understand a wider variety of mark making techniques.",https://www.csvpa.com/art-and-design/extended-diploma/course-details/subjects.htm,arts&design
22,Career Articles,"We have compiled a list of Best Reference Books on Fundamentals of Art and Design Subject. These books are used by students of top universities, institutes and colleges.",https://www.sanfoundry.com/best-reference-books-fundamentals-art-design/,arts&design
23,Career Articles,MBA Business Analytics or Master of Business Administration Business Analytics is a post-graduate programme.,https://collegedunia.com/courses/master-of-business-administration-mba-business-analytics,analytics
24,Career Articles,"We have compiled a list of Best Reference Books on Data Analytics and Visualization Subject. These books are used by students of top universities, institutes and colleges.",sanfoundry.com/best-reference-books-data-analytics-visualization/,analytics
25,Career Articles,"MBA in Human Resource or MBA HR programme imparts knowledge and training in managing the workforce of the organization. It is known that every organisation has its unique set of values, visions, ideals, norms, MBA in Human Resource or MBA HR programme imparts knowledge and training in managing the workforce of the organization. It is known that every organisation has its unique set of values, visions, ideals, norms, working language, systems and methodology programme imparts knowledge and training in managing the workforce of the organization. It is known that every organisation has its unique set of values, visions, ideals, norms, working language, systems and methodology.",https://www.shiksha.com/mba-in-hr-human-resource-chp,human resources
26,Career Articles,"We have compiled a list of Best Reference Books on Development of Human Resources Subject. These books are used by students of top universities, institutes and colleges.",https://www.sanfoundry.com/best-reference-books-development-human-resources/,human resources
27,Career Articles,"The popularity of FAME subjects (finance, accounting, management and economics) comes from their vital role in the world of business, particularly those first two letters of the acronym: accounting and finance.",https://www.topuniversities.com/courses/accounting-finance/accounting-vs-finance-which-should-you-study,finance
28,Career Articles,"Below is the list of Finance reference books and textbooks. These books can be used for studying Finance Management. This list includes the author name, publisher name and other details about the book. Students of MBA, MMS, PGDM, BBA, Bcom and Mcom and other management and commerce courses can take benefits of these books for study and exam preparation.",https://www.indiaclass.com/finance-reference-books/,finance
29,Career Articles,"An MBBS degree is an undergraduate course for aspirants who want to fulfil their dream of becoming a doctor. Bachelor of Medicine and Bachelor of Surgery (MBBS), is a professional degree in medical science. A person holding the MBBS degree becomes a certified medical practitioner.",https://www.shiksha.com/mbbs-chp,medical
30,Career Articles,Reach global healthcare professionals on their path to learning with our integrated marketing solutions and align your brand with trusted Elsevier content.,https://www.elsevier.com/en-in/advertising-reprints-supplements/medical-reference-books,medical
31,Colleges,"National Institute of Design (NID), Ahmedabad",http://www.nid.edu/,arts&design
32,Colleges,NIFT,https://nift.ac.in/,arts&design
33,Colleges,Royal college of art,https://www.topuniversities.com/universities/royal-college-art#sub,arts&design
34,Colleges,MIT,https://www.topuniversities.com/universities/parsons-school-design-new-school#sub,arts&design
35,Colleges,Parsons School of Design,https://www.topuniversities.com/universities/parsons-school-design-new-school#sub,arts&design
36,Colleges,SP Jain School of Global Management,https://www.spjain.org/,analytics
37,Colleges,IIT Kharagpur,http://www.iitkgp.ac.in/,analytics
38,Colleges,Symbiosis Centre for Management and Human Resource Development Pune,https://www.scmhrd.edu/,analytics
39,Colleges,Narsee Monjee School of Management - Bangalore,https://nmimsbengaluru.org/,analytics
40,Colleges,ISB Hyderabad,https://www.isb.edu/en.html,analytics
41,Colleges,SMS-Hydrebad,https://www.collegedekho.com/colleges/school-of-management-studies-university-of-hyderabad,human resources
42,Colleges,IIM Banglore,https://www.collegedekho.com/colleges/iim-bangalore,human resources
43,Colleges,IIM Ahmedabad,https://en.wikipedia.org/wiki/Indian_Institute_of_Management_Ahmedabad,human resources
44,Colleges,IIM calcutta,https://www.collegedekho.com/colleges/iim-kolkata,human resources
45,Colleges,XLRI,https://www.xlri.ac.in/,human resources
46,Colleges,SMS-Hydrebad,https://www.collegedekho.com/colleges/school-of-management-studies-university-of-hyderabad,finance
47,Colleges,IIM Banglore,https://www.collegedekho.com/colleges/iim-bangalore,finance
48,Colleges,IIM Ahmedabad,https://en.wikipedia.org/wiki/Indian_Institute_of_Management_Ahmedabad,finance
49,Colleges,IIM calcutta,https://www.collegedekho.com/colleges/iim-kolkata,finance
50,Colleges,XLRI,https://www.xlri.ac.in/,finance
51,Colleges,AIIMS,https://collegedunia.com/university/25446-all-india-institute-of-medical-sciences-aiims-new-delhi,medical
52,Colleges,CMC-Vellore,https://collegedunia.com/university/25446-all-india-institute-of-medical-sciences-aiims-new-delhi,medical
53,Colleges,KMC,https://collegedunia.com/college/10631-kasturba-medical-college-kmc-mangalore,medical
54,Colleges,AFMC-Pune,https://collegedunia.com/college/10270-armed-forces-medical-college-afmc-pune,medical
55,Colleges,MMC,https://collegedunia.com/college/9652-madras-medical-college-mmc-chennai,medical
56,Scope,Fashion Designer.,,arts&design
57,Scope,Graphic Designer.,,arts&design
58,Scope,Digital Marketing,,arts&design
59,Scope,Business Analyzer,,analytics
60,Scope,Data Analyzer,,analytics
61,Scope,Product Manager,,analytics
62,Scope,Doctor,,medical
63,Scope,PHD,,medical
64,Scope,Surgeon,,medical
65,Scope,Investment Banker,,finance
66,Scope,Financial Analyt,,finance
67,Scope,Chartered Accountant,,finance
68,Scope,HR manager,,human resources
69,Scope,Public relation,,human resources
70,Scope,Public officer,,human resources
